Strategy,File,Return,Sharpe,Sortino,MaxDD,WinRate,Trades,SQN,Round
R2-06 BB+KC Squeeze,r2_06_bb_keltner_squeeze.py,350.3,0.22,0.37,-67.4,66.7,84,1.88,2
R1-04 Bollinger Bounce,r1_04_bollinger_bounce.py,322.2,0.14,0.23,-90.3,66.2,77,0.9,1
R1-02 RSI Mean Reversion,r1_02_rsi_mean_reversion.py,289.2,0.13,0.22,-85.5,61.5,26,0.73,1
R1-01 Golden Cross,r1_01_golden_cross.py,252.1,0.13,0.21,-65.0,33.3,21,0.03,1
R2-02 BB+ATR Trail,r2_02_bb_atr_trailing.py,185.1,0.11,0.18,-78.4,41.5,142,1.04,2
R2-03 RSI Wide+ATR,r2_03_rsi_wider_bands.py,129.8,0.09,0.13,-83.7,40.3,139,0.61,2
R2-07 EMA+BB Trend Rev,r2_07_ema_bb_trend_reversion.py,114.1,0.28,0.47,-26.6,72.7,11,2.03,2
R3-01 BB+KC+ATR Trail,r3_01_bb_kc_atr_trail.py,113.1,0.09,0.14,-60.6,40.8,98,0.59,3
R1-09 EMA Ribbon,r1_09_ema_ribbon.py,109.4,0.13,0.21,-72.2,26.0,50,0.38,1
R1-05 Keltner Reversion,r1_05_keltner_reversion.py,98.5,0.07,0.11,-74.3,66.0,53,0.47,1
R2-04 Keltner+RSI,r2_04_keltner_rsi_combo.py,98.5,0.07,0.11,-74.3,66.0,53,0.47,2
R1-06 SuperTrend,r1_06_supertrend.py,62.4,0.05,0.08,-75.5,39.8,113,0.36,1
R3-02 EMA+BB Wider,r3_02_ema_bb_wider.py,57.7,0.1,0.15,-63.6,68.6,35,0.53,3
R2-01 BB+RSI Combo,r2_01_bb_rsi_combo.py,42.0,0.04,0.06,-84.4,68.8,48,0.21,2
R2-05 Golden+ATR Trail,r2_05_golden_atr_trail.py,41.9,0.09,0.13,-34.7,38.1,21,0.63,2
R1-10 RSI+ATR Trail,r1_10_rsi_atr_trailing.py,38.5,0.05,0.08,-81.5,34.1,82,0.35,1
R3-03 BB+KC+EMA Filter,r3_03_bb_kc_ema_filter.py,14.5,0.04,0.07,-25.3,61.5,26,0.42,3
R3-04 BB+KC+RSI+ATR,r3_04_bb_kc_rsi_atr.py,13.4,0.01,0.02,-77.6,43.3,90,0.11,3
