Strategy,File,Category,Best_Version,Windows_Passed,Status,Avg_Return,Avg_MaxDD,Total_Trades,OG_Windows,OG_Avg_Return,RA_Windows,RA_Avg_Return,W1_Return,W2_Return,W3_Return,W4_Return,W5_Return,W6_Return,W7_Return
RSI Wider Bands + ATR,r2_03_rsi_wider_bands.py,mean_reversion,regime,6,ROBUST,9.4,-15.6,18,4,19.1,6,9.4,7.9,3.8,10.2,-26.9,42.2,12.8,15.7
Golden Cross (SMA 50/200),r1_01_golden_cross.py,trend,regime,5,ROBUST,59.8,-30.5,14,3,35.5,5,59.8,15.3,17.5,-11.9,18.3,127.0,-27.7,280.2
Bollinger + Keltner Squeeze,r2_06_bb_keltner_squeeze.py,mean_reversion,original,5,ROBUST,29.3,-29.7,66,5,29.3,5,1.2,30.4,29.6,-10.2,-51.9,75.3,84.1,48.0
RSI Mean Reversion,r1_02_rsi_mean_reversion.py,mean_reversion,original,5,ROBUST,27.6,-43.6,19,5,27.6,2,1.1,45.0,12.3,-55.9,-48.5,221.2,0.4,18.4
SuperTrend,r1_06_supertrend.py,trend,regime,5,ROBUST,17.9,-28.3,37,2,13.1,5,17.9,11.9,-43.4,-0.2,52.2,7.2,25.1,72.2
Bollinger Band Bounce,r1_04_bollinger_bounce.py,mean_reversion,regime,5,ROBUST,17.8,-20.6,20,4,46.4,5,17.8,0.4,22.3,3.1,-33.7,50.2,-41.8,124.1
Bollinger + RSI Combo,r2_01_bb_rsi_combo.py,mean_reversion,original,5,ROBUST,8.0,-43.0,35,5,8.0,4,-0.8,70.2,6.6,-47.1,-49.3,46.5,1.7,27.3
Bollinger + ATR Trailing,r2_02_bb_atr_trailing.py,mean_reversion,original,4,MARGINAL,34.5,-41.4,107,4,34.5,4,17.1,23.9,7.3,-45.9,-50.1,121.7,-7.3,191.6
EMA Ribbon,r1_09_ema_ribbon.py,trend,original,4,MARGINAL,27.8,-28.4,36,4,27.8,3,27.4,3.5,-17.3,-21.9,7.6,2.3,-39.5,259.7
BB + KC + ATR Trail,r3_01_bb_kc_atr_trail.py,mean_reversion,original,4,MARGINAL,25.9,-36.5,76,4,25.9,4,0.9,34.6,-13.4,-25.6,18.6,153.0,-39.6,53.9
RSI + ATR Trailing Stop,r1_10_rsi_atr_trailing.py,mean_reversion,original,4,MARGINAL,20.3,-31.4,66,4,20.3,3,13.2,73.3,-27.6,-21.7,-41.4,126.7,28.7,3.8
EMA + BB Wider Bands,r3_02_ema_bb_wider.py,mean_reversion,regime,4,MARGINAL,17.2,-13.9,21,4,16.1,4,17.2,-9.1,28.1,3.8,-26.6,57.6,-22.0,88.8
BB + KC + RSI + ATR,r3_04_bb_kc_rsi_atr.py,mean_reversion,original,4,MARGINAL,14.2,-38.9,71,4,14.2,4,0.1,3.4,-21.0,-47.7,16.8,151.5,-42.7,38.9
Keltner Channel Reversion,r1_05_keltner_reversion.py,mean_reversion,original,4,MARGINAL,11.7,-42.9,40,4,11.7,3,-3.0,8.8,21.7,-31.8,-40.2,94.7,-14.3,42.7
Keltner + RSI Combo,r2_04_keltner_rsi_combo.py,mean_reversion,original,4,MARGINAL,11.7,-42.9,40,4,11.7,3,-3.0,8.8,21.7,-31.8,-40.2,94.7,-14.3,42.7
EMA Trend + Bollinger Dip,r2_07_ema_bb_trend_reversion.py,mean_reversion,original,4,MARGINAL,10.3,-10.8,10,4,10.3,2,4.9,-2.4,35.5,-9.3,0.0,18.0,6.5,23.5
Golden Cross + ATR Trail,r2_05_golden_atr_trail.py,trend,original,4,MARGINAL,5.6,-17.4,15,4,5.6,3,4.6,0.2,-5.5,-5.2,28.6,31.0,1.5,-11.7
StochRSI Momentum,r1_11_stochrsi_momentum.py,mean_reversion,original,3,FRAGILE,23.3,-48.0,101,3,23.3,2,13.3,-44.0,25.1,-44.4,-52.9,66.7,-58.8,271.4
BB + KC + EMA Filter,r3_03_bb_kc_ema_filter.py,mean_reversion,original,3,FRAGILE,2.1,-15.9,22,3,2.1,2,-0.1,-9.5,18.7,-5.7,-5.9,14.0,3.3,0.0
MACD + ATR Trailing,r1_12_macd_atr_trail.py,hybrid,regime,3,FRAGILE,-0.4,-32.3,91,3,-10.4,3,-0.4,8.4,9.8,-14.0,-19.0,-3.4,-9.4,24.5
MACD Crossover,r1_03_macd_crossover.py,hybrid,regime,3,FRAGILE,-1.0,-32.3,91,3,-12.5,3,-1.0,8.4,9.8,-14.0,-19.0,-5.0,-9.4,22.3
Donchian Channel Breakout,r1_07_donchian_breakout.py,trend,regime,3,FRAGILE,-3.8,-37.3,75,2,13.9,3,-3.8,-34.5,-54.5,-6.5,28.2,-1.7,15.3,26.9
ADX Trend Strength,r1_08_adx_trend.py,trend,original,2,FRAGILE,-4.8,-18.4,33,2,-4.8,1,0.3,9.5,-22.5,-8.5,-22.0,-10.3,28.7,-8.6
