Strategy,File,Windows_Passed,Pass_Rate,Status,W1_Return,W1_MaxDD,W1_Trades,W1_WinRate,W2_Return,W2_MaxDD,W2_Trades,W2_WinRate,W3_Return,W3_MaxDD,W3_Trades,W3_WinRate,W4_Return,W4_MaxDD,W4_Trades,W4_WinRate,W5_Return,W5_MaxDD,W5_Trades,W5_WinRate,W6_Return,W6_MaxDD,W6_Trades,W6_WinRate,W7_Return,W7_MaxDD,W7_Trades,W7_WinRate,Avg_Return
r2_06_bb_keltner_squeeze,r2_06_bb_keltner_squeeze.py,5,71.42857142857143,ROBUST,30.4,-22.6,9,66.7,29.6,-26.5,7,71.4,-10.2,-33.8,12,58.3,-51.9,-57.1,11,27.3,75.3,-25.6,8,75.0,84.1,-29.8,14,85.7,48.0,-12.7,5,80.0,29.3
r1_02_rsi_mean_reversion,r1_02_rsi_mean_reversion.py,5,71.42857142857143,ROBUST,45.0,-28.4,4,75.0,12.3,-55.8,2,50.0,-55.9,-75.3,1,0.0,-48.5,-63.0,3,0.0,221.2,-25.6,4,100.0,0.4,-37.8,4,50.0,18.4,-19.6,1,0.0,27.6
r2_01_bb_rsi_combo,r2_01_bb_rsi_combo.py,5,71.42857142857143,ROBUST,70.2,-27.1,5,100.0,6.6,-55.8,4,75.0,-47.1,-65.0,4,50.0,-49.3,-63.7,8,50.0,46.5,-32.9,4,75.0,1.7,-36.7,7,85.7,27.3,-19.6,3,66.7,8.0
r1_04_bollinger_bounce,r1_04_bollinger_bounce.py,4,57.14285714285714,MARGINAL,19.7,-27.1,8,75.0,100.9,-55.8,9,66.7,-54.3,-70.3,8,50.0,-67.7,-76.2,8,25.0,128.0,-32.9,7,85.7,-24.3,-40.6,8,75.0,222.4,-19.6,8,87.5,46.4
r2_02_bb_atr_trailing,r2_02_bb_atr_trailing.py,4,57.14285714285714,MARGINAL,23.9,-31.4,16,43.8,7.3,-35.9,14,57.1,-45.9,-55.2,21,33.3,-50.1,-65.0,16,25.0,121.7,-38.6,11,45.5,-7.3,-45.5,19,31.6,191.6,-18.1,10,80.0,34.5
r1_09_ema_ribbon,r1_09_ema_ribbon.py,4,57.14285714285714,MARGINAL,3.5,-33.1,8,25.0,-17.3,-44.9,10,20.0,-21.9,-22.2,4,0.0,7.6,-22.0,3,33.3,2.3,-17.7,3,0.0,-39.5,-39.5,5,20.0,259.7,-19.7,3,66.7,27.8
r3_01_bb_kc_atr_trail,r3_01_bb_kc_atr_trail.py,4,57.14285714285714,MARGINAL,34.6,-22.4,11,54.5,-13.4,-35.1,8,50.0,-25.6,-45.9,15,40.0,18.6,-46.8,15,33.3,153.0,-35.1,7,57.1,-39.6,-51.4,15,26.7,53.9,-18.9,5,60.0,25.9
r1_10_rsi_atr_trailing,r1_10_rsi_atr_trailing.py,4,57.14285714285714,MARGINAL,73.3,-17.6,10,60.0,-27.6,-38.0,5,20.0,-21.7,-31.7,15,26.7,-41.4,-59.5,20,25.0,126.7,-25.6,4,100.0,28.7,-34.9,8,37.5,3.8,-12.4,4,50.0,20.3
r2_03_rsi_wider_bands,r2_03_rsi_wider_bands.py,4,57.14285714285714,MARGINAL,26.7,-24.8,14,50.0,-32.1,-44.6,10,40.0,-19.6,-61.2,25,36.0,-34.2,-66.5,23,21.7,173.4,-27.9,11,63.6,0.4,-43.9,19,42.1,19.3,-16.7,7,57.1,19.1
r3_02_ema_bb_wider,r3_02_ema_bb_wider.py,4,57.14285714285714,MARGINAL,-16.7,-31.3,5,40.0,65.8,-17.0,6,83.3,3.2,-19.3,3,66.7,-54.4,-62.9,4,25.0,57.6,-7.5,4,100.0,-22.2,-27.2,1,100.0,79.3,-12.7,6,83.3,16.1
