Strategy,File,OG_Windows_Passed,OG_Status,OG_Avg_Return,OG_Avg_MaxDD,RA_Windows_Passed,RA_Status,RA_Avg_Return,RA_Avg_MaxDD,Pass_Change,Return_Change,OG_W1_Return,OG_W2_Return,OG_W3_Return,OG_W4_Return,OG_W5_Return,OG_W6_Return,OG_W7_Return,RA_W1_Return,RA_W2_Return,RA_W3_Return,RA_W4_Return,RA_W5_Return,RA_W6_Return,RA_W7_Return
r1_01_golden_cross,r1_01_golden_cross.py,3,FRAGILE,35.5,-39.5,5,ROBUST,59.8,-30.5,2,24.3,-8.8,13.1,-9.8,-7.1,92.8,-49.4,218.0,15.3,17.5,-11.9,18.3,127.0,-27.7,280.2
r1_02_rsi_mean_reversion,r1_02_rsi_mean_reversion.py,5,ROBUST,27.6,-43.6,2,FRAGILE,1.1,-7.8,-3,-26.5,45.0,12.3,-55.9,-48.5,221.2,0.4,18.4,0.0,0.0,11.0,-22.0,20.6,-1.8,0.0
r1_03_macd_crossover,r1_03_macd_crossover.py,3,FRAGILE,-12.5,-53.0,3,FRAGILE,-1.0,-32.3,0,11.5,27.3,-46.0,-36.7,10.1,-9.0,-57.0,24.0,8.4,9.8,-14.0,-19.0,-5.0,-9.4,22.3
r1_04_bollinger_bounce,r1_04_bollinger_bounce.py,4,MARGINAL,46.4,-46.1,5,ROBUST,17.8,-20.6,1,-28.6,19.7,100.9,-54.3,-67.7,128.0,-24.3,222.4,0.4,22.3,3.1,-33.7,50.2,-41.8,124.1
r1_05_keltner_reversion,r1_05_keltner_reversion.py,4,MARGINAL,11.7,-42.9,3,FRAGILE,-3.0,-17.4,-1,-14.7,8.8,21.7,-31.8,-40.2,94.7,-14.3,42.7,-8.9,-4.2,19.1,-23.4,30.5,-36.0,2.2
r1_06_supertrend,r1_06_supertrend.py,2,FRAGILE,13.1,-46.5,5,ROBUST,17.9,-28.3,3,4.8,-6.1,-22.8,-21.3,122.2,-1.6,-10.9,32.4,11.9,-43.4,-0.2,52.2,7.2,25.1,72.2
r1_07_donchian_breakout,r1_07_donchian_breakout.py,2,FRAGILE,13.9,-42.4,3,FRAGILE,-3.8,-37.3,1,-17.7,-17.3,-46.7,-9.9,145.1,-15.3,55.9,-14.7,-34.5,-54.5,-6.5,28.2,-1.7,15.3,26.9
r1_08_adx_trend,r1_08_adx_trend.py,2,FRAGILE,-4.8,-18.4,1,FRAGILE,0.3,-9.3,-1,5.1,9.5,-22.5,-8.5,-22.0,-10.3,28.7,-8.6,-3.4,-2.8,0.0,-13.5,-5.7,28.7,-1.0
r1_09_ema_ribbon,r1_09_ema_ribbon.py,4,MARGINAL,27.8,-28.4,3,FRAGILE,27.4,-26.5,-1,-0.4,3.5,-17.3,-21.9,7.6,2.3,-39.5,259.7,-2.2,-33.6,-15.9,20.6,2.3,-39.5,259.8
r1_10_rsi_atr_trailing,r1_10_rsi_atr_trailing.py,4,MARGINAL,20.3,-31.4,3,FRAGILE,13.2,-7.5,-1,-7.1,73.3,-27.6,-21.7,-41.4,126.7,28.7,3.8,0.0,0.0,13.1,-13.0,46.9,45.1,0.0
r1_11_stochrsi_momentum,r1_11_stochrsi_momentum.py,3,FRAGILE,23.3,-48.0,2,FRAGILE,13.3,-33.0,-1,-10.0,-44.0,25.1,-44.4,-52.9,66.7,-58.8,271.4,-14.9,-14.1,-14.9,-26.1,20.9,-68.3,210.8
r1_12_macd_atr_trail,r1_12_macd_atr_trail.py,3,FRAGILE,-10.4,-52.8,3,FRAGILE,-0.4,-32.3,0,10.0,28.9,-46.0,-29.1,14.9,-7.5,-58.9,24.6,8.4,9.8,-14.0,-19.0,-3.4,-9.4,24.5
r2_01_bb_rsi_combo,r2_01_bb_rsi_combo.py,5,ROBUST,8.0,-43.0,4,MARGINAL,-0.8,-10.7,-1,-8.8,70.2,6.6,-47.1,-49.3,46.5,1.7,27.3,0.0,9.9,11.0,-22.4,7.5,-14.0,2.2
r2_02_bb_atr_trailing,r2_02_bb_atr_trailing.py,4,MARGINAL,34.5,-41.4,4,MARGINAL,17.1,-17.5,0,-17.4,23.9,7.3,-45.9,-50.1,121.7,-7.3,191.6,-9.4,14.3,14.6,-17.6,33.7,-12.0,95.9
r2_03_rsi_wider_bands,r2_03_rsi_wider_bands.py,4,MARGINAL,19.1,-40.8,6,ROBUST,9.4,-15.6,2,-9.7,26.7,-32.1,-19.6,-34.2,173.4,0.4,19.3,7.9,3.8,10.2,-26.9,42.2,12.8,15.7
r2_04_keltner_rsi_combo,r2_04_keltner_rsi_combo.py,4,MARGINAL,11.7,-42.9,3,FRAGILE,-3.0,-17.4,-1,-14.7,8.8,21.7,-31.8,-40.2,94.7,-14.3,42.7,-8.9,-4.2,19.1,-23.4,30.5,-36.0,2.2
r2_05_golden_atr_trail,r2_05_golden_atr_trail.py,4,MARGINAL,5.6,-17.4,3,FRAGILE,4.6,-17.4,-1,-1.0,0.2,-5.5,-5.2,28.6,31.0,1.5,-11.7,-0.3,-5.5,-11.0,28.6,31.0,1.2,-11.7
r2_06_bb_keltner_squeeze,r2_06_bb_keltner_squeeze.py,5,ROBUST,29.3,-29.7,5,ROBUST,1.2,-8.2,0,-28.1,30.4,29.6,-10.2,-51.9,75.3,84.1,48.0,-4.7,6.4,3.8,-8.4,7.4,1.9,2.2
r2_07_ema_bb_trend_reversion,r2_07_ema_bb_trend_reversion.py,4,MARGINAL,10.3,-10.8,2,FRAGILE,4.9,-1.4,-2,-5.4,-2.4,35.5,-9.3,0.0,18.0,6.5,23.5,-6.9,0.0,0.0,0.0,18.0,0.0,23.5
r3_01_bb_kc_atr_trail,r3_01_bb_kc_atr_trail.py,4,MARGINAL,25.9,-36.5,4,MARGINAL,0.9,-13.1,0,-25.0,34.6,-13.4,-25.6,18.6,153.0,-39.6,53.9,-4.7,3.8,10.2,-11.3,42.2,-36.0,2.2
r3_02_ema_bb_wider,r3_02_ema_bb_wider.py,4,MARGINAL,16.1,-25.4,4,MARGINAL,17.2,-13.9,0,1.1,-16.7,65.8,3.2,-54.4,57.6,-22.2,79.3,-9.1,28.1,3.8,-26.6,57.6,-22.0,88.8
r3_03_bb_kc_ema_filter,r3_03_bb_kc_ema_filter.py,3,FRAGILE,2.1,-15.9,2,FRAGILE,-0.1,-7.5,-1,-2.2,-9.5,18.7,-5.7,-5.9,14.0,3.3,0.0,-4.7,6.4,0.0,-8.4,8.1,-2.2,0.0
r3_04_bb_kc_rsi_atr,r3_04_bb_kc_rsi_atr.py,4,MARGINAL,14.2,-38.9,4,MARGINAL,0.1,-14.5,0,-14.1,3.4,-21.0,-47.7,16.8,151.5,-42.7,38.9,-4.7,3.8,11.1,-13.4,42.2,-40.3,2.2
