Rank,Strategy,File,Return%,Sharpe,Sortino,MaxDD%,WinRate%,Trades,SQN,Expectancy%,Status
1,r1_13_gap_and_go,r1_13_gap_and_go.py,451.374,0.74837,1.76245,-48.54754,48.0,25,0.93513,11.04792,OK
2,r2_12_premarket_macd_hybrid,r2_12_premarket_macd_hybrid.py,445.78877,0.89696,2.16106,-42.19969,50.0,26,1.24435,8.35884,OK
3,r3_04_gap_aggressive,r3_04_gap_aggressive.py,373.68757,0.64585,1.45633,-58.76104,52.17391,23,0.96724,11.42707,OK
4,r1_17_gap_momentum_filter,r1_17_gap_momentum_filter.py,346.24526,0.61929,1.36477,-61.1741,45.16129,31,0.77649,8.70285,OK
5,r3_06_gap_expectancy_max,r3_06_gap_expectancy_max.py,337.78587,0.86082,1.99797,-39.67372,55.0,20,1.33886,9.13364,OK
6,r2_11_gap_rsi_confirmation,r2_11_gap_rsi_confirmation.py,326.14693,0.65532,1.43609,-51.08707,44.73684,38,0.93307,5.36048,OK
7,r2_09_gap_go_tight_trail,r2_09_gap_go_tight_trail.py,325.53474,0.77726,1.73911,-40.93083,47.5,40,1.3142,4.63815,OK
8,r1_16_premarket_breakout,r1_16_premarket_breakout.py,211.12556,0.82582,1.81945,-31.81794,57.14286,14,1.40216,9.74841,OK
9,r3_01_macd_atr_trail,r3_01_macd_atr_trail.py,90.38138,0.8009,1.97295,-27.9393,37.39837,123,1.19143,0.6213,OK
10,r1_11_keltner_reversion,r1_11_keltner_reversion.py,89.56003,0.74502,1.58493,-29.55476,68.96552,29,2.21203,2.17388,OK
11,r2_03_keltner_rsi_confluence,r2_03_keltner_rsi_confluence.py,89.56003,0.74502,1.58493,-29.55476,68.96552,29,2.21203,2.17388,OK
12,r1_04_macd_crossover,r1_04_macd_crossover.py,88.1849,0.77302,1.85316,-28.13764,38.21138,123,1.15036,0.61624,OK
13,r3_05_gap_regime_safe,r3_05_gap_regime_safe.py,84.71974,0.53423,0.98444,-34.83185,50.0,18,1.1085,4.13705,OK
14,r1_08_atr_breakout,r1_08_atr_breakout.py,66.92042,0.85618,1.81049,-15.54119,52.63158,57,1.3954,1.00475,OK
15,r1_02_rsi_mean_reversion,r1_02_rsi_mean_reversion.py,60.62262,0.5651,1.13931,-31.67521,77.77778,18,1.38308,2.95169,OK
16,r2_02_macd_adx_filter,r2_02_macd_adx_filter.py,58.87516,0.63776,1.36692,-21.772,40.69767,86,1.05883,0.66436,OK
17,r2_04_atr_breakout_trailing,r2_04_atr_breakout_trailing.py,53.61312,0.70071,1.41212,-16.04319,55.55556,54,1.16893,0.89986,OK
18,r1_03_bollinger_bounce,r1_03_bollinger_bounce.py,49.97881,0.45764,0.80163,-41.11316,71.42857,42,1.0458,1.09325,OK
19,r2_01_rsi_atr_trailing,r2_01_rsi_atr_trailing.py,49.18443,0.66456,1.37163,-21.5047,51.16279,43,1.31048,1.06136,OK
20,r1_05_donchian_breakout,r1_05_donchian_breakout.py,46.08754,0.62503,1.18969,-19.35687,50.98039,51,1.16677,0.83631,OK
21,r1_07_ema_ribbon,r1_07_ema_ribbon.py,39.77627,0.45872,0.78945,-40.17864,34.61538,26,0.4493,2.24972,OK
22,r3_03_safe_momentum,r3_03_safe_momentum.py,38.11348,0.78811,1.65644,-10.76785,52.63158,38,1.29941,0.92842,OK
23,r2_08_keltner_atr_trailing,r2_08_keltner_atr_trailing.py,37.24484,0.43433,0.76501,-34.26141,40.0,70,0.58986,0.52585,OK
24,r2_06_mean_rev_regime_switch,r2_06_mean_rev_regime_switch.py,28.91094,0.57047,0.96787,-17.72088,43.18182,44,0.69409,0.6632,OK
25,r1_09_stochrsi_oversold,r1_09_stochrsi_oversold.py,26.39412,0.27574,0.46574,-32.1981,52.77778,36,0.41414,0.9644,OK
26,r3_02_rsi_macd_hybrid,r3_02_rsi_macd_hybrid.py,24.04877,0.3104,0.58424,-29.07808,45.2381,42,0.64681,0.66249,OK
27,r2_07_squeeze_atr_trail,r2_07_squeeze_atr_trail.py,23.12455,0.7081,1.3874,-12.96599,47.05882,17,1.08448,1.3254,OK
28,r1_12_bb_keltner_squeeze,r1_12_bb_keltner_squeeze.py,22.38683,0.99851,2.46033,-9.17511,47.36842,19,1.2828,1.12587,OK
29,r1_15_overnight_gap_reversal,r1_15_overnight_gap_reversal.py,9.42021,0.11228,0.17821,-26.07062,59.52381,42,0.23429,0.37795,OK
30,r1_01_golden_cross,r1_01_golden_cross.py,4.53406,0.06378,0.09059,-49.96811,30.0,10,0.0186,2.00122,OK
31,r1_10_adx_trend,r1_10_adx_trend.py,3.39324,0.09088,0.13718,-19.07045,40.90909,44,0.14714,0.13116,OK
32,r1_06_supertrend,r1_06_supertrend.py,0.0,0.0,0.0,-0.0,0.0,0,0.0,0.0,NO TRADES
33,last_bar_state,last_bar_state.py,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,NO TRADES
34,r2_10_gap_keltner_hybrid,r2_10_gap_keltner_hybrid.py,-5.82666,-0.15116,-0.21849,-20.07379,42.5,40,-0.2405,-0.06503,OK
35,r2_05_bb_ema_filter,r2_05_bb_ema_filter.py,-12.17794,-0.31346,-0.37867,-38.5178,34.09091,44,-0.48512,-0.25842,OK
36,r1_14_gap_fade,r1_14_gap_fade.py,-18.17237,-0.21615,-0.28865,-42.2809,47.36842,38,-0.5529,-0.32393,OK
