Strategy,File,Category,Best_Version,Windows_Passed,Status,Avg_Return,Avg_MaxDD,Total_Trades,OG_Windows,OG_Avg_Return,RA_Windows,RA_Avg_Return,W1_Bull (+64%)_Return,W2_Bear (-42%)_Return,W3_Choppy (+40%)_Return,W4_Choppy (+56%)_Return,W5_Bull (+62%)_Return,W6_Choppy (+52%)_Return,W7_Choppy (+9%)_Return,W8_Choppy (+41%)_Return,W9_Choppy (+11%)_Return
EMA Ribbon,r1_07_ema_ribbon.py,trend,original,7,ROBUST,23.2,-20.8,9,7,23.2,6,17.8,59.5,-37.1,39.9,53.7,46.3,25.0,5.2,22.1,-5.5
Gap + Keltner Hybrid,r2_10_gap_keltner_hybrid.py,gap_momentum,original,7,ROBUST,20.2,-18.9,27,7,20.2,5,13.7,49.4,-16.9,14.8,4.7,68.7,48.8,22.5,-11.0,1.1
Bollinger Band Bounce,r1_03_bollinger_bounce.py,mean_reversion,original,7,ROBUST,13.3,-17.9,13,7,13.3,4,9.8,11.8,-20.4,18.9,19.9,15.5,51.3,-2.8,2.8,22.5
Keltner Channel Reversion,r1_11_keltner_reversion.py,mean_reversion,original,7,ROBUST,13.0,-17.4,9,7,13.0,4,8.1,31.0,-1.4,1.1,6.1,15.5,51.5,-2.8,9.6,6.2
MACD + ADX Filter,r2_02_macd_adx_filter.py,trend,original,7,ROBUST,11.9,-11.4,26,7,11.9,5,5.4,45.4,-11.0,2.4,33.1,0.0,11.1,15.0,9.5,2.0
Keltner + RSI Confluence,r2_03_keltner_rsi_confluence.py,mean_reversion,original,7,ROBUST,11.8,-16.9,8,7,11.8,4,8.1,20.0,-1.4,1.1,6.1,15.5,51.5,-2.8,9.6,6.2
Gap-and-Go,r1_13_gap_and_go.py,gap_momentum,original,6,MARGINAL,22.4,-20.0,24,6,22.4,5,6.9,55.5,-27.9,88.3,44.4,17.0,14.8,-23.3,45.2,-12.8
PreMarket MACD Hybrid,r2_12_premarket_macd_hybrid.py,gap_momentum,original,6,MARGINAL,21.3,-14.8,25,6,21.3,5,10.7,39.8,-15.4,50.2,27.6,45.3,43.7,-25.0,39.7,-14.2
Gap Aggressive (R3),r3_04_gap_aggressive.py,gap_momentum,original,6,MARGINAL,20.6,-21.9,21,6,20.6,5,13.1,52.8,-27.3,61.2,36.3,42.0,33.3,-29.0,21.0,-5.2
ATR Breakout + Trailing,r2_04_atr_breakout_trailing.py,gap_momentum,original,6,MARGINAL,20.2,-15.3,17,6,20.2,5,13.4,36.6,-19.2,72.9,24.0,29.5,25.1,-15.3,31.2,-2.7
